Model,Target,R2_mean,R2_std,Pearson_mean,Pearson_std,RMSE_mean,MAE_mean
Dummy,increment_SSM_DA_NoCDF,-0.002545265260080987,0.0018713156522284376,,,0.09616624563932419,0.06842605024576187
Ridge,increment_SSM_DA_NoCDF,0.18214972429141452,0.036185641483769536,0.43397861830496887,0.03340928390774921,0.0868262662280109,0.060809562158030975
RF,increment_SSM_DA_NoCDF,0.2689163994118176,0.03644746226600596,0.5199289998976334,0.03198293709781111,0.0822000581765732,0.05446944987125378
Dummy,delta_increment_NoCDF_minus_CDF_SSM,-0.0003559421584703237,0.00020654220740284304,,,0.10572296380996704,0.06753978878259659
Ridge,delta_increment_NoCDF_minus_CDF_SSM,0.0550919771056672,0.01220285171115669,0.24218437729603792,0.022351812520805384,0.10270874042466335,0.06669597289236112
RF,delta_increment_NoCDF_minus_CDF_SSM,0.12081130623819358,0.015141319457495172,0.3503596755368104,0.019993386854388208,0.09916293986767363,0.06213597566813488
Dummy,delta_DA_NoCDF_minus_OPL_RZSM,-0.015303665536756262,0.020034632940980342,,,0.027241921052336693,0.020062696188688278
Ridge,delta_DA_NoCDF_minus_OPL_RZSM,0.22128119724219744,0.048668928815785266,0.4841098194368195,0.04398645448575629,0.023866693977660995,0.0175155758254244
RF,delta_DA_NoCDF_minus_OPL_RZSM,0.3982825774226198,0.05371386685922738,0.6373519308746939,0.0369879887466043,0.020971861127410507,0.0144187639680288
Dummy,delta_DA_NoCDF_minus_OPL_ET,-0.007084866612311602,0.003804514806748816,,,10.586272509139762,7.517561216381127
Ridge,delta_DA_NoCDF_minus_OPL_ET,0.3892587670065275,0.07739838922411713,0.6305222287165237,0.05402628770727987,8.287150732599374,5.751999333490981
RF,delta_DA_NoCDF_minus_OPL_ET,0.5188948466856166,0.06714592696014837,0.7250888089058772,0.039449121814212895,7.358378136051405,4.730966979171687
Dummy,delta_DA_NoCDF_minus_OPL_baseflow,-0.26153290025575726,0.41926445804042123,,,5.2823298755094195,1.7834859647936856
Ridge,delta_DA_NoCDF_minus_OPL_baseflow,-0.8923088285227688,1.2041639171608576,0.16229953805992797,0.14457033476680128,5.55497563296065,2.160541430735415
RF,delta_DA_NoCDF_minus_OPL_baseflow,-0.06882492338201078,0.1859029980560108,0.248839125289599,0.12998635220439642,5.064244371755491,1.293292437805913
Dummy,delta_DA_NoCDF_minus_OPL_runoff,-0.13680752376930339,0.174323075147195,,,0.6974300728259597,0.18768989936774175
Ridge,delta_DA_NoCDF_minus_OPL_runoff,-0.9586161179787542,0.9875633155488094,0.18528005150721236,0.1643854972462156,0.740039594921406,0.26316641078235326
RF,delta_DA_NoCDF_minus_OPL_runoff,0.009584746053571958,0.1284766685551744,0.3329493910619179,0.16710548067797304,0.6654416307845729,0.1312961357940033
Dummy,delta_increment_NoCDF_minus_CDF_RZSM,-0.002151171864320345,0.001349577344261091,,,0.028499433770775795,0.014422285370528698
Ridge,delta_increment_NoCDF_minus_CDF_RZSM,0.02589264845194148,0.004778062187220771,0.18182341484682402,0.02086572385375879,0.028093507672212758,0.01457436822907665
RF,delta_increment_NoCDF_minus_CDF_RZSM,0.09709257040754057,0.02862452397432719,0.31731183492544063,0.04128718162411003,0.0270859948138426,0.013342190594171887
Dummy,delta_DA_CDF_minus_OPL_ET,-0.006407313516232893,0.006432169774010945,,,8.580574140675456,5.478654700718299
Ridge,delta_DA_CDF_minus_OPL_ET,0.2269895214032772,0.07528401795413404,0.4770635187701684,0.07476783486027054,7.44977467186529,5.1959437869669
RF,delta_DA_CDF_minus_OPL_ET,0.3537007712564874,0.07264910753200915,0.5949903771134857,0.05811347299873155,6.802866558598225,4.377463024357039
Dummy,delta_DA_CDF_minus_OPL_RZSM,-0.00983025372308477,0.010992904753898958,,,0.020633842796087265,0.013704193755984306
Ridge,delta_DA_CDF_minus_OPL_RZSM,0.09400060370970201,0.02357444264438686,0.3241718272713564,0.039183758016606535,0.01954074818145285,0.013310669575998139
RF,delta_DA_CDF_minus_OPL_RZSM,0.22289981750603816,0.019277619901011307,0.47743477476524526,0.021814373756544797,0.018104808568784415,0.011887542464147733
