Model,Target,R2,Pearson,RMSE,MAE
Dummy,increment_SSM_DA_NoCDF,-0.009970981918876909,,0.09658779203891754,0.06895795464515686
Ridge,increment_SSM_DA_NoCDF,0.14014780141557004,0.37978348741386425,0.0891209215012132,0.0615346318184438
RF,increment_SSM_DA_NoCDF,0.1965486457197666,0.44638845734446736,0.08614846805182973,0.05756315533805745
Dummy,delta_increment_NoCDF_minus_CDF_SSM,-0.006704953996433005,,0.10727216303348541,0.06866844743490219
Ridge,delta_increment_NoCDF_minus_CDF_SSM,0.022214470753632143,0.17928999610924015,0.10572014519043511,0.0680591542707462
RF,delta_increment_NoCDF_minus_CDF_SSM,0.04006992445654267,0.22433201582939175,0.10475041385025546,0.06582983924288649
Dummy,delta_DA_NoCDF_minus_OPL_RZSM,-0.006341972793452388,,0.029656222090125084,0.02162197045981884
Ridge,delta_DA_NoCDF_minus_OPL_RZSM,0.26945942962812197,0.5562541655511197,0.02526766849099573,0.017776564938645604
RF,delta_DA_NoCDF_minus_OPL_RZSM,0.36287796582883447,0.6089750139636892,0.02359686528537601,0.016620353795467818
Dummy,delta_DA_NoCDF_minus_OPL_ET,-0.05765598451954146,,10.27247696122201,7.371970029699612
Ridge,delta_DA_NoCDF_minus_OPL_ET,0.3225833207858171,0.5896724557649303,8.221118403917268,5.317160390131353
RF,delta_DA_NoCDF_minus_OPL_ET,0.44759179654182235,0.6811433341122118,7.423915500212811,4.571564382912313
Dummy,delta_DA_NoCDF_minus_OPL_baseflow,-7.623578581750223e-07,,6.033950229614015,1.6827820411813013
Ridge,delta_DA_NoCDF_minus_OPL_baseflow,0.0960927390331191,0.34270821184544986,5.736717918308231,1.9673944806079176
RF,delta_DA_NoCDF_minus_OPL_baseflow,0.12842007150608792,0.3982015132508007,5.633199969565117,1.029401978877645
Dummy,delta_DA_NoCDF_minus_OPL_runoff,-0.0011518017955285398,,0.5150170486045679,0.15640316054681772
Ridge,delta_DA_NoCDF_minus_OPL_runoff,0.045146892960002294,0.3504426923655654,0.5029674982651643,0.2369776369392318
RF,delta_DA_NoCDF_minus_OPL_runoff,0.2703800437575409,0.5813805899511375,0.4396630730736477,0.08787665600336167
Dummy,delta_increment_NoCDF_minus_CDF_RZSM,-0.0018158597200113036,,0.027513325214385986,0.014016763307154179
Ridge,delta_increment_NoCDF_minus_CDF_RZSM,0.016832979188636132,0.15682877131757567,0.027256041803255898,0.014230772042166185
RF,delta_increment_NoCDF_minus_CDF_RZSM,0.05665564192444761,0.2433579405284288,0.02669834026317212,0.013324521085882796
Dummy,delta_DA_CDF_minus_OPL_ET,-0.001288119569053281,,8.670703790469876,5.282204447611356
Ridge,delta_DA_CDF_minus_OPL_ET,0.32414322588662847,0.5755060667518468,7.12364311872444,4.648289661303108
RF,delta_DA_CDF_minus_OPL_ET,0.36920979581767543,0.6090173703057943,6.882041523092232,4.245905886270684
Dummy,delta_DA_CDF_minus_OPL_RZSM,-0.013212808610838067,,0.020903607830405235,0.013813418336212635
Ridge,delta_DA_CDF_minus_OPL_RZSM,0.09855938269896025,0.37647916345354665,0.01971693835576909,0.0129592199553597
RF,delta_DA_CDF_minus_OPL_RZSM,0.13672571644024245,0.3836570096311537,0.019295023824136427,0.013074844654500352
