Target,Predictor,Importance,Importance_Type,Importance_Rank
increment_SSM_DA_NoCDF,precipitation_model,0.006221886565237167,Permutation,10.0
increment_SSM_DA_NoCDF,SSM_OPL,0.02857633495656795,Permutation,2.0
increment_SSM_DA_NoCDF,RZSM_OPL,0.006211498644573599,Permutation,11.0
increment_SSM_DA_NoCDF,Evap_tavg_OPL,0.04124937632719587,Permutation,1.0
increment_SSM_DA_NoCDF,Qs_tavg_OPL,0.002741244464275927,Permutation,12.0
increment_SSM_DA_NoCDF,Qsb_tavg_OPL,0.019760937992464034,Permutation,4.0
increment_SSM_DA_NoCDF,SMC_L1_OPL,0.026465692418768106,Permutation,3.0
increment_SSM_DA_NoCDF,SMC_L2_OPL,0.011786388538505176,Permutation,9.0
increment_SSM_DA_NoCDF,SMC_L3_OPL,0.013602379354789362,Permutation,7.0
increment_SSM_DA_NoCDF,SMC_L4_OPL,0.019624395290860575,Permutation,5.0
increment_SSM_DA_NoCDF,month,0.012517760894339003,Permutation,8.0
increment_SSM_DA_NoCDF,season,0.01499116240541607,Permutation,6.0
increment_SSM_DA_CDF,precipitation_model,0.02286878753697128,Permutation,2.0
increment_SSM_DA_CDF,SSM_OPL,0.010658051631173083,Permutation,5.0
increment_SSM_DA_CDF,RZSM_OPL,-0.0027394693028927053,Permutation,11.0
increment_SSM_DA_CDF,Evap_tavg_OPL,0.01129261851551584,Permutation,4.0
increment_SSM_DA_CDF,Qs_tavg_OPL,0.00062541388108035,Permutation,9.0
increment_SSM_DA_CDF,Qsb_tavg_OPL,0.005931825862521367,Permutation,8.0
increment_SSM_DA_CDF,SMC_L1_OPL,0.008466823012606062,Permutation,6.0
increment_SSM_DA_CDF,SMC_L2_OPL,-0.0042407211263230105,Permutation,12.0
increment_SSM_DA_CDF,SMC_L3_OPL,-0.0020206382513312305,Permutation,10.0
increment_SSM_DA_CDF,SMC_L4_OPL,0.027965762576636567,Permutation,1.0
increment_SSM_DA_CDF,month,0.00794830456992739,Permutation,7.0
increment_SSM_DA_CDF,season,0.016235071525716037,Permutation,3.0
delta_increment_NoCDF_minus_CDF_SSM,precipitation_model,-0.0046010107757817,Permutation,12.0
delta_increment_NoCDF_minus_CDF_SSM,SSM_OPL,0.00039641365299385444,Permutation,7.0
delta_increment_NoCDF_minus_CDF_SSM,RZSM_OPL,-0.003777064054396706,Permutation,11.0
delta_increment_NoCDF_minus_CDF_SSM,Evap_tavg_OPL,-0.0023004797565091993,Permutation,9.0
delta_increment_NoCDF_minus_CDF_SSM,Qs_tavg_OPL,-0.003523606784818467,Permutation,10.0
delta_increment_NoCDF_minus_CDF_SSM,Qsb_tavg_OPL,0.006050089506626999,Permutation,3.0
delta_increment_NoCDF_minus_CDF_SSM,SMC_L1_OPL,0.001320221086205886,Permutation,6.0
delta_increment_NoCDF_minus_CDF_SSM,SMC_L2_OPL,-0.0004745130063342318,Permutation,8.0
delta_increment_NoCDF_minus_CDF_SSM,SMC_L3_OPL,0.005461909880685889,Permutation,4.0
delta_increment_NoCDF_minus_CDF_SSM,SMC_L4_OPL,0.006872679209958488,Permutation,2.0
delta_increment_NoCDF_minus_CDF_SSM,month,0.0053838407090130765,Permutation,5.0
delta_increment_NoCDF_minus_CDF_SSM,season,0.007263668498598097,Permutation,1.0
increment_RZSM_DA_NoCDF,precipitation_model,0.020683734064514625,Permutation,6.0
increment_RZSM_DA_NoCDF,SSM_OPL,0.02584929285387836,Permutation,3.0
increment_RZSM_DA_NoCDF,RZSM_OPL,0.010810383513356414,Permutation,11.0
increment_RZSM_DA_NoCDF,Evap_tavg_OPL,0.0364045214960876,Permutation,2.0
increment_RZSM_DA_NoCDF,Qs_tavg_OPL,0.016702034058731142,Permutation,8.0
increment_RZSM_DA_NoCDF,Qsb_tavg_OPL,0.050856643372405766,Permutation,1.0
increment_RZSM_DA_NoCDF,SMC_L1_OPL,0.025620051753264983,Permutation,4.0
