spatial_block,n_pixels,n_samples,ns_min,ns_max,ew_min,ew_max,fold_assignment
0_0,42,59340,0,18,3,57,1
0_1,42,37620,0,18,58,90,4
0_2,42,33060,0,18,91,119,1
0_3,42,35340,0,18,120,150,4
0_4,42,34080,0,18,151,180,5
1_0,38,57120,19,36,4,57,2
1_1,38,35640,19,36,58,90,2
1_2,38,31320,19,36,91,119,2
1_3,38,33360,19,36,120,150,2
1_4,38,32400,19,36,151,180,5
2_0,24,49140,37,55,10,57,4
2_1,24,37560,37,55,58,90,5
2_2,24,33000,37,55,91,119,3
2_3,24,35340,37,55,120,150,1
2_4,24,34200,37,55,151,180,3
3_0,21,28260,56,76,21,57,4
3_1,23,45420,56,78,58,90,4
3_2,23,40020,56,78,91,119,1
3_3,23,42780,56,78,120,150,3
3_4,23,41400,56,78,151,180,2
4_1,53,39900,79,117,62,90,3
4_2,54,49920,79,118,91,119,3
4_3,40,47820,79,108,120,150,5
4_4,47,47760,79,113,151,180,5
