Target,Fold,R2,Pearson,RMSE,MAE,Bias,N_Test
increment_SSM_DA_NoCDF,1,0.2723392613850184,0.5226791697045655,0.08895299769969457,0.06024784801562826,-0.00039101555096275294,167760
increment_SSM_DA_NoCDF,2,0.33016391229507125,0.574921552144229,0.07321753517473925,0.04785296351286561,-0.0005244583166426855,198840
increment_SSM_DA_NoCDF,3,0.21597600775839598,0.47535932758512217,0.09421770834396187,0.06464928740848544,-0.010382244430807366,199800
increment_SSM_DA_NoCDF,4,0.2650049159749044,0.5155307141213425,0.07421983149859386,0.04552323994653582,0.000676414607475531,195780
increment_SSM_DA_NoCDF,5,0.26109789964569774,0.5111542359329078,0.08039221816587651,0.05407391047275376,-0.0005051411979501837,199620
delta_increment_NoCDF_minus_CDF_SSM,1,0.12468578510224748,0.3536142773407349,0.10349721499971797,0.06808333911393065,0.0020819747947429345,167760
delta_increment_NoCDF_minus_CDF_SSM,2,0.1378173502807507,0.3728957567377569,0.08800155801440324,0.05517133809548527,-0.0008605343622922349,198840
delta_increment_NoCDF_minus_CDF_SSM,3,0.10752639624533444,0.3384658218601905,0.11562398665081619,0.07369580595507119,-0.010210524130462719,199800
delta_increment_NoCDF_minus_CDF_SSM,4,0.13485649774743969,0.36833299348478726,0.08954718372290577,0.05141811595550661,0.0005320831111900312,195780
delta_increment_NoCDF_minus_CDF_SSM,5,0.0991705018151956,0.31848952826058274,0.09914475595052503,0.062311279220680714,0.0012091719054921448,199620
delta_DA_NoCDF_minus_OPL_RZSM,1,0.3889000829548648,0.6307589927484665,0.018620601195729367,0.013098456252523344,-0.002082907846857309,167760
delta_DA_NoCDF_minus_OPL_RZSM,2,0.4110322652022136,0.6424088457891368,0.019096777441695176,0.01331314340516854,0.0005548397651088409,198840
delta_DA_NoCDF_minus_OPL_RZSM,3,0.3007001785045821,0.5708886196736482,0.024436724237642184,0.01676480357433426,-0.004611820888274491,199800
delta_DA_NoCDF_minus_OPL_RZSM,4,0.43502835940041895,0.6667586219269456,0.021523986869409303,0.014484069814669615,0.0014787289205139028,195780
delta_DA_NoCDF_minus_OPL_RZSM,5,0.45575200105101943,0.6759445742352728,0.021181215892576523,0.014433346793448239,0.0009475802002159487,199620
delta_DA_NoCDF_minus_OPL_ET,1,0.5520098147184,0.7465488598436673,6.627868690741,4.387307194302923,-0.43777660439025007,167760
delta_DA_NoCDF_minus_OPL_ET,2,0.595630838751622,0.7728398575543225,5.48389390732936,3.6312038422979924,0.3389951238301344,198840
delta_DA_NoCDF_minus_OPL_ET,3,0.39603100567524563,0.6553579535297835,9.673049149480903,6.255118389993705,-1.9052957757214144,199800
delta_DA_NoCDF_minus_OPL_ET,4,0.5116595080009475,0.7159162332026681,7.782618723712361,4.823803708109942,0.29412780049117415,195780
delta_DA_NoCDF_minus_OPL_ET,5,0.5391430662818675,0.7347811403989449,7.224460208993401,4.557401761153873,0.25075049158944535,199620
delta_DA_NoCDF_minus_OPL_baseflow,1,-0.33865029418745984,0.23400390889923128,2.5966156661952104,0.8005941348117511,0.49106798326788426,167760
delta_DA_NoCDF_minus_OPL_baseflow,2,-0.19315832141076283,0.1145393754119087,1.229091590074899,0.29224897682963213,0.1330121423310061,198840
delta_DA_NoCDF_minus_OPL_baseflow,3,0.0033573451127043574,0.1973718813454008,13.175463671263895,3.112649039411474,-2.185920435874741,199800
delta_DA_NoCDF_minus_OPL_baseflow,4,0.20940322094692387,0.49654486357296995,5.171185245768431,1.2949392223072471,-0.40087601584297905,195780
delta_DA_NoCDF_minus_OPL_baseflow,5,-0.02507656737145947,0.2017355972184843,3.1488656854750183,0.9660308156694604,0.29886997453545416,199620
delta_DA_NoCDF_minus_OPL_runoff,1,-0.07812195725589799,0.402497607953964,0.22928104604530486,0.057986125991605034,0.02927072424815864,167760
delta_DA_NoCDF_minus_OPL_runoff,2,-0.11454302172006137,0.18327054113401894,0.18031471525971646,0.03387989572640841,0.011543382018208915,198840
delta_DA_NoCDF_minus_OPL_runoff,3,-0.00038478675584108224,0.1165723532752265,1.9572576291017938,0.3541298242662244,-0.22389617576779688,199800
delta_DA_NoCDF_minus_OPL_runoff,4,0.2522691512665155,0.5851336692337983,0.6839034967088231,0.13081551810554887,-0.052120451875039775,195780
delta_DA_NoCDF_minus_OPL_runoff,5,-0.011295655266855276,0.37727278371258177,0.27645126680722565,0.07966931488022966,0.02963663999465786,199620
delta_increment_NoCDF_minus_CDF_RZSM,1,0.09506430428030033,0.3143387072462176,0.023230025969833746,0.012261152640362321,0.0007475920018497479,167760
delta_increment_NoCDF_minus_CDF_RZSM,2,0.11528963033139084,0.34406213878082753,0.019668413058076574,0.010108940622372895,-6.086120684035445e-05,198840
delta_increment_NoCDF_minus_CDF_RZSM,3,0.07173385334758142,0.2963559802228353,0.03585355702238967,0.017461585056784627,-0.004720747402910385,199800
delta_increment_NoCDF_minus_CDF_RZSM,4,0.14090664813525222,0.3765460866463996,0.0273683466402907,0.012198749584215912,-0.00037016446078632476,195780
delta_increment_NoCDF_minus_CDF_RZSM,5,0.06246841594317809,0.25525626173092314,0.029309631378622327,0.014680525067123687,0.0003975078852118323,199620
delta_DA_CDF_minus_OPL_ET,1,0.2553676010677677,0.5196650009948414,5.937250704831386,4.020789183972368,-0.7836175502545539,167760
delta_DA_CDF_minus_OPL_ET,2,0.29243318447307565,0.5415802875060269,5.905886891700199,3.9842724039521933,0.18952827685792228,198840
delta_DA_CDF_minus_OPL_ET,3,0.4418919653321156,0.6648789213334937,8.166316405195033,5.205718014011995,-0.043031467772547655,199800
delta_DA_CDF_minus_OPL_ET,4,0.42573037223175514,0.6539387431332333,6.974096714197777,4.243512458186058,0.2539612437138326,195780
delta_DA_CDF_minus_OPL_ET,5,0.35308073317772304,0.594888932599833,7.030782077066732,4.433023061662576,0.07458346299837433,199620
delta_DA_CDF_minus_OPL_RZSM,1,0.21791409654507543,0.4890644052305019,0.015825321066084867,0.01081836597534092,-0.0023397546373395417,167760
delta_DA_CDF_minus_OPL_RZSM,2,0.2303928051045122,0.4813020272629487,0.01642287528595724,0.011566660555125601,0.0005413939502449919,198840
delta_DA_CDF_minus_OPL_RZSM,3,0.18843991418684158,0.43516424837849027,0.01932698005808115,0.012390112999515854,0.0005527829216674382,199800
delta_DA_CDF_minus_OPL_RZSM,4,0.23258485472283286,0.48434397449040556,0.019635848550344583,0.011819596434558703,0.0003655210191734533,195780
delta_DA_CDF_minus_OPL_RZSM,5,0.2451674169709287,0.49729921846388,0.019313017883454246,0.012842976356197591,0.001024967323995146,199620
