year,month,pct_below_ref_min,experiment
2016,1,58.92701,DA_NoCDF
2016,2,45.283844,DA_NoCDF
2016,3,36.94947,DA_NoCDF
2016,4,48.73986,DA_NoCDF
2016,5,42.227074,DA_NoCDF
2016,6,36.444168,DA_NoCDF
2016,7,26.855894,DA_NoCDF
2016,8,23.67436,DA_NoCDF
2016,9,26.65627,DA_NoCDF
2016,10,27.779165,DA_NoCDF
2016,11,28.378042,DA_NoCDF
2016,12,21.147846,DA_NoCDF
2017,1,30.417967,DA_NoCDF
2017,2,29.918903,DA_NoCDF
2017,3,39.145355,DA_NoCDF
2017,4,57.24891,DA_NoCDF
2017,5,58.328133,DA_NoCDF
2017,6,48.122272,DA_NoCDF
2017,7,42.82595,DA_NoCDF
2017,8,37.816593,DA_NoCDF
2017,9,44.647537,DA_NoCDF
2017,10,41.2539,DA_NoCDF
2017,11,49.943855,DA_NoCDF
2017,12,42.75109,DA_NoCDF
2018,1,36.955708,DA_NoCDF
2018,2,34.728634,DA_NoCDF
2018,3,40.679977,DA_NoCDF
2018,4,51.447285,DA_NoCDF
2018,5,47.011852,DA_NoCDF
2018,6,48.78977,DA_NoCDF
2018,7,48.577667,DA_NoCDF
2018,8,42.607613,DA_NoCDF
2018,9,44.366814,DA_NoCDF
2018,10,45.277603,DA_NoCDF
2018,11,40.736122,DA_NoCDF
2018,12,49.93762,DA_NoCDF
2019,1,53.187775,DA_NoCDF
2019,2,55.75795,DA_NoCDF
2019,3,61.752964,DA_NoCDF
2019,4,61.765438,DA_NoCDF
2019,5,73.76794,DA_NoCDF
2019,6,67.59825,DA_NoCDF
2019,7,61.37243,DA_NoCDF
2019,8,56.986897,DA_NoCDF
2019,9,54.02994,DA_NoCDF
2019,10,56.519024,DA_NoCDF
2019,11,51.397377,DA_NoCDF
2019,12,57.17405,DA_NoCDF
2020,1,57.87898,DA_NoCDF
2020,2,59.15783,DA_NoCDF
2020,3,66.937,DA_NoCDF
2020,4,64.23581,DA_NoCDF
2020,5,64.87835,DA_NoCDF
2020,6,59.282597,DA_NoCDF
2020,7,54.054897,DA_NoCDF
2020,8,51.890205,DA_NoCDF
2020,9,52.60761,DA_NoCDF
2020,10,52.757328,DA_NoCDF
2020,11,49.868996,DA_NoCDF
2020,12,55.458515,DA_NoCDF
2016,1,60.69245,DA_CDF
2016,2,44.946976,DA_CDF
2016,3,30.280724,DA_CDF
2016,4,33.537117,DA_CDF
2016,5,26.556456,DA_CDF
2016,6,23.287586,DA_CDF
2016,7,17.779163,DA_CDF
2016,8,15.502183,DA_CDF
2016,9,17.055521,DA_CDF
2016,10,17.60449,DA_CDF
2016,11,14.709918,DA_CDF
2016,12,8.689957,DA_CDF
2017,1,10.0,DA_CDF
2017,2,8.116033,DA_CDF
2017,3,8.752339,DA_CDF
2017,4,20.8796,DA_CDF
2017,5,25.483469,DA_CDF
2017,6,19.207735,DA_CDF
2017,7,18.321898,DA_CDF
2017,8,14.160948,DA_CDF
2017,9,25.252651,DA_CDF
2017,10,23.817842,DA_CDF
2017,11,36.743607,DA_CDF
2017,12,27.673113,DA_CDF
2018,1,21.110418,DA_CDF
2018,2,23.49345,DA_CDF
2018,3,25.595757,DA_CDF
2018,4,35.73924,DA_CDF
2018,5,30.29944,DA_CDF
2018,6,31.752962,DA_CDF
2018,7,33.412354,DA_CDF
2018,8,29.064257,DA_CDF
2018,9,33.93013,DA_CDF
2018,10,35.751717,DA_CDF
2018,11,29.881472,DA_CDF
2018,12,38.989395,DA_CDF
2019,1,47.56082,DA_CDF
2019,2,54.061134,DA_CDF
2019,3,59.376167,DA_CDF
2019,4,54.160946,DA_CDF
2019,5,65.53338,DA_CDF
2019,6,58.976917,DA_CDF
2019,7,52.407986,DA_CDF
2019,8,48.927013,DA_CDF
2019,9,47.89769,DA_CDF
2019,10,52.32065,DA_CDF
2019,11,45.658142,DA_CDF
2019,12,53.34373,DA_CDF
2020,1,56.044918,DA_CDF
2020,2,58.908295,DA_CDF
2020,3,65.938866,DA_CDF
2020,4,54.01123,DA_CDF
2020,5,55.87024,DA_CDF
2020,6,50.973175,DA_CDF
2020,7,48.134747,DA_CDF
2020,8,47.660637,DA_CDF
2020,9,49.38865,DA_CDF
2020,10,50.792267,DA_CDF
2020,11,43.842796,DA_CDF
2020,12,52.31441,DA_CDF
