land_cover,year,month,pct_area,experiment,dry_category
1,2016,1,93.333336,OPL,D0
1,2016,2,100.0,OPL,D0
1,2016,3,50.0,OPL,D0
1,2016,4,86.36364,OPL,D0
1,2016,5,59.090908,OPL,D0
1,2016,6,72.72727,OPL,D0
1,2016,7,77.27273,OPL,D0
1,2016,8,81.818184,OPL,D0
1,2016,9,95.454544,OPL,D0
1,2016,10,59.090908,OPL,D0
1,2016,11,18.181818,OPL,D0
1,2016,12,0.0,OPL,D0
1,2017,1,0.0,OPL,D0
1,2017,2,0.0,OPL,D0
1,2017,3,0.0,OPL,D0
1,2017,4,63.636364,OPL,D0
1,2017,5,40.909092,OPL,D0
1,2017,6,50.0,OPL,D0
1,2017,7,54.545456,OPL,D0
1,2017,8,40.909092,OPL,D0
1,2017,9,27.272728,OPL,D0
1,2017,10,18.181818,OPL,D0
1,2017,11,95.454544,OPL,D0
1,2017,12,72.72727,OPL,D0
1,2018,1,54.545456,OPL,D0
1,2018,2,0.0,OPL,D0
1,2018,3,0.0,OPL,D0
1,2018,4,0.0,OPL,D0
1,2018,5,0.0,OPL,D0
1,2018,6,0.0,OPL,D0
1,2018,7,0.0,OPL,D0
1,2018,8,0.0,OPL,D0
1,2018,9,0.0,OPL,D0
1,2018,10,0.0,OPL,D0
1,2018,11,0.0,OPL,D0
1,2018,12,0.0,OPL,D0
1,2019,1,0.0,OPL,D0
1,2019,2,9.090909,OPL,D0
1,2019,3,50.0,OPL,D0
1,2019,4,13.636364,OPL,D0
1,2019,5,59.090908,OPL,D0
1,2019,6,36.363636,OPL,D0
1,2019,7,27.272728,OPL,D0
1,2019,8,27.272728,OPL,D0
1,2019,9,27.272728,OPL,D0
1,2019,10,59.090908,OPL,D0
1,2019,11,27.272728,OPL,D0
1,2019,12,31.818182,OPL,D0
1,2020,1,50.0,OPL,D0
1,2020,2,100.0,OPL,D0
1,2020,3,100.0,OPL,D0
1,2020,4,36.363636,OPL,D0
1,2020,5,40.909092,OPL,D0
1,2020,6,40.909092,OPL,D0
1,2020,7,40.909092,OPL,D0
1,2020,8,50.0,OPL,D0
1,2020,9,50.0,OPL,D0
1,2020,10,63.636364,OPL,D0
1,2020,11,59.090908,OPL,D0
1,2020,12,95.454544,OPL,D0
2,2016,1,100.0,OPL,D0
2,2016,2,100.0,OPL,D0
2,2016,3,0.0,OPL,D0
2,2016,4,100.0,OPL,D0
2,2016,5,100.0,OPL,D0
2,2016,6,100.0,OPL,D0
2,2016,7,100.0,OPL,D0
2,2016,8,100.0,OPL,D0
2,2016,9,100.0,OPL,D0
2,2016,10,0.0,OPL,D0
2,2016,11,0.0,OPL,D0
2,2016,12,0.0,OPL,D0
2,2017,1,0.0,OPL,D0
2,2017,2,0.0,OPL,D0
2,2017,3,0.0,OPL,D0
2,2017,4,12.5,OPL,D0
2,2017,5,0.0,OPL,D0
2,2017,6,0.0,OPL,D0
2,2017,7,0.0,OPL,D0
