experiment,season,dry_category,robustness,pct_area
DA_CDF,DJF,D0,main,50.66329
DA_CDF,DJF,D1,main,44.07273
DA_CDF,DJF,D2,cautious_supplementary,38.01735
DA_CDF,DJF,D3,qc_only_not_robust_with_5yr_reference,38.01735
DA_CDF,DJF,D4,qc_only_not_robust_with_5yr_reference,38.01735
DA_CDF,JJA,D0,main,46.202953
DA_CDF,JJA,D1,main,40.36307
DA_CDF,JJA,D2,cautious_supplementary,33.971302
DA_CDF,JJA,D3,qc_only_not_robust_with_5yr_reference,33.971302
DA_CDF,JJA,D4,qc_only_not_robust_with_5yr_reference,33.971302
DA_CDF,MAM,D0,main,52.931587
DA_CDF,MAM,D1,main,46.127678
DA_CDF,MAM,D2,cautious_supplementary,39.467663
DA_CDF,MAM,D3,qc_only_not_robust_with_5yr_reference,39.467663
DA_CDF,MAM,D4,qc_only_not_robust_with_5yr_reference,39.467663
DA_CDF,SON,D0,main,48.543148
DA_CDF,SON,D1,main,41.969227
DA_CDF,SON,D2,cautious_supplementary,34.97692
DA_CDF,SON,D3,qc_only_not_robust_with_5yr_reference,34.9765
DA_CDF,SON,D4,qc_only_not_robust_with_5yr_reference,34.9765
DA_NoCDF,DJF,D0,main,57.31236
DA_NoCDF,DJF,D1,main,51.527714
DA_NoCDF,DJF,D2,cautious_supplementary,46.16252
DA_NoCDF,DJF,D3,qc_only_not_robust_with_5yr_reference,46.16252
DA_NoCDF,DJF,D4,qc_only_not_robust_with_5yr_reference,46.16252
DA_NoCDF,JJA,D0,main,55.93138
DA_NoCDF,JJA,D1,main,51.710545
DA_NoCDF,JJA,D2,cautious_supplementary,47.126637
DA_NoCDF,JJA,D3,qc_only_not_robust_with_5yr_reference,47.126637
DA_NoCDF,JJA,D4,qc_only_not_robust_with_5yr_reference,47.126637
DA_NoCDF,MAM,D0,main,65.160324
DA_NoCDF,MAM,D1,main,59.80453
DA_NoCDF,MAM,D2,cautious_supplementary,54.341442
DA_NoCDF,MAM,D3,qc_only_not_robust_with_5yr_reference,54.341026
DA_NoCDF,MAM,D4,qc_only_not_robust_with_5yr_reference,54.341026
DA_NoCDF,SON,D0,main,54.16594
DA_NoCDF,SON,D1,main,49.382824
DA_NoCDF,SON,D2,cautious_supplementary,44.41464
DA_NoCDF,SON,D3,qc_only_not_robust_with_5yr_reference,44.41464
DA_NoCDF,SON,D4,qc_only_not_robust_with_5yr_reference,44.41464
OPL,DJF,D0,main,39.896503
OPL,DJF,D1,main,22.432367
OPL,DJF,D2,cautious_supplementary,18.502237
OPL,DJF,D3,qc_only_not_robust_with_5yr_reference,0.0
OPL,DJF,D4,qc_only_not_robust_with_5yr_reference,0.0
OPL,JJA,D0,main,40.0
OPL,JJA,D1,main,20.0
OPL,JJA,D2,cautious_supplementary,20.0
OPL,JJA,D3,qc_only_not_robust_with_5yr_reference,0.0
OPL,JJA,D4,qc_only_not_robust_with_5yr_reference,0.0
OPL,MAM,D0,main,40.0
OPL,MAM,D1,main,20.0
OPL,MAM,D2,cautious_supplementary,20.0
OPL,MAM,D3,qc_only_not_robust_with_5yr_reference,0.0
OPL,MAM,D4,qc_only_not_robust_with_5yr_reference,0.0
OPL,SON,D0,main,40.0
OPL,SON,D1,main,20.0
OPL,SON,D2,cautious_supplementary,20.0
OPL,SON,D3,qc_only_not_robust_with_5yr_reference,0.0
OPL,SON,D4,qc_only_not_robust_with_5yr_reference,0.0
