year,month,dry_category,DA_CDF,DA_NoCDF,OPL,delta_nocdf_minus_opl,delta_cdf_minus_opl
2016,1,D0,80.25587,77.55864,72.089554,5.4690857,8.166313
2016,1,D1,73.46481,71.53518,50.52239,21.01279,22.942425
2016,1,D2,62.61194,60.554375,50.52239,10.031986,12.08955
2016,1,D3,62.61194,60.554375,0.0,60.554375,62.61194
2016,1,D4,62.61194,60.554375,0.0,60.554375,62.61194
2016,2,D0,66.92366,66.09222,70.39304,-4.300827,-3.4693832
2016,2,D1,60.38549,60.090702,43.43915,16.65155,16.946339
2016,2,D2,49.690098,50.128494,43.43915,6.6893425,6.250946
2016,2,D3,49.690098,50.128494,0.0,50.128494,49.690098
2016,2,D4,49.690098,50.128494,0.0,50.128494,49.690098
2016,3,D0,46.419216,49.500935,47.12414,2.376793,-0.70492554
2016,3,D1,37.885216,42.782284,19.313787,23.468496,18.571428
2016,3,D2,30.280724,36.94947,19.313787,17.635683,10.966936
2016,3,D3,30.280724,36.94947,0.0,36.94947,30.280724
2016,3,D4,30.280724,36.94947,0.0,36.94947,30.280724
2016,4,D0,51.328762,60.511543,57.298817,3.2127266,-5.9700546
2016,4,D1,42.127262,55.140366,33.16906,21.971306,8.958202
2016,4,D2,33.537117,48.73986,33.16906,15.570801,0.36805725
2016,4,D3,33.537117,48.73986,0.0,48.73986,33.537117
2016,4,D4,33.537117,48.73986,0.0,48.73986,33.537117
2016,5,D0,36.375546,50.155956,31.79663,18.359325,4.5789146
2016,5,D1,31.14161,45.83905,16.768559,29.070492,14.373051
2016,5,D2,26.556456,42.227074,16.768559,25.458515,9.787897
2016,5,D3,26.556456,42.227074,0.0,42.227074,26.556456
2016,5,D4,26.556456,42.227074,0.0,42.227074,26.556456
2016,6,D0,32.61385,43.686836,31.915157,11.771679,0.6986923
2016,6,D1,28.009981,39.92514,18.771053,21.154087,9.238928
2016,6,D2,23.287586,36.444168,18.771053,17.673115,4.516533
2016,6,D3,23.287586,36.444168,0.0,36.444168,23.287586
2016,6,D4,23.287586,36.444168,0.0,36.444168,23.287586
2016,7,D0,26.61884,33.992516,26.232063,7.7604523,0.38677597
2016,7,D1,21.87149,30.087337,11.172801,18.914536,10.698689
2016,7,D2,17.779163,26.855894,11.172801,15.683093,6.6063623
2016,7,D3,17.779163,26.855894,0.0,26.855894,17.779163
2016,7,D4,17.779163,26.855894,0.0,26.855894,17.779163
2016,8,D0,24.8534,31.297567,26.406738,4.890829,-1.553339
2016,8,D1,19.719276,27.248907,13.562071,13.686836,6.1572056
2016,8,D2,15.502183,23.67436,13.562071,10.112289,1.9401121
2016,8,D3,15.502183,23.67436,0.0,23.67436,15.502183
2016,8,D4,15.502183,23.67436,0.0,23.67436,15.502183
2016,9,D0,29.744228,37.31129,28.116032,9.195259,1.6281967
2016,9,D1,22.86962,32.033688,10.792264,21.241425,12.077355
2016,9,D2,17.055521,26.65627,10.792264,15.864005,6.263257
2016,9,D3,17.055521,26.65627,0.0,26.65627,17.055521
2016,9,D4,17.055521,26.65627,0.0,26.65627,17.055521
2016,10,D0,28.702433,36.007484,24.578915,11.42857,4.123518
2016,10,D1,22.476606,31.634436,8.820961,22.813475,13.655645
2016,10,D2,17.60449,27.779165,8.820961,18.958204,8.783529
2016,10,D3,17.60449,27.779165,0.0,27.779165,17.60449
2016,10,D4,17.60449,27.779165,0.0,27.779165,17.60449
2016,11,D0,24.023706,38.2408,4.217093,34.023705,19.806614
2016,11,D1,18.714909,32.825954,0.3742982,32.451656,18.34061
2016,11,D2,14.709918,28.378042,0.3742982,28.003744,14.33562
2016,11,D3,14.709918,28.378042,0.0,28.378042,14.709918
2016,11,D4,14.709918,28.378042,0.0,28.378042,14.709918
2016,12,D0,12.738615,29.132875,0.1871491,28.945726,12.551466
2016,12,D1,10.40549,24.934498,0.03742982,24.897068,10.36806
2016,12,D2,8.689957,21.147846,0.03742982,21.110416,8.652527
2016,12,D3,8.689957,21.147846,0.0,21.147846,8.689957
2016,12,D4,8.689957,21.147846,0.0,21.147846,8.689957
2017,1,D0,13.499687,38.365562,0.23081721,38.134747,13.26887
2017,1,D1,11.509669,33.992516,0.106051154,33.886463,11.403618
2017,1,D2,10.0,30.417967,0.0062383036,30.411728,9.993762
2017,1,D3,10.0,30.417967,0.0,30.417967,10.0
2017,1,D4,10.0,30.417967,0.0,30.417967,10.0
2017,2,D0,11.0729885,39.26388,0.9170306,38.34685,10.155958
2017,2,D1,9.251404,33.905178,0.3742982,33.53088,8.877106
2017,2,D2,8.116033,29.918903,0.07485964,29.844044,8.041173
2017,2,D3,8.116033,29.918903,0.0,29.918903,8.116033
2017,2,D4,8.116033,29.918903,0.0,29.918903,8.116033
2017,3,D0,13.206488,48.484093,5.7080474,42.776047,7.4984403
2017,3,D1,10.424205,43.45602,2.4578915,40.99813,7.9663134
2017,3,D2,8.752339,39.145355,2.4578915,36.68746,6.294448
2017,3,D3,8.752339,39.145355,0.0,39.145355,8.752339
2017,3,D4,8.752339,39.145355,0.0,39.145355,8.752339
2017,4,D0,38.022457,71.09794,40.686214,30.411724,-2.6637573
2017,4,D1,27.373674,63.961323,13.537118,50.424206,13.836556
2017,4,D2,20.8796,57.24891,13.537118,43.711792,7.3424826
2017,4,D3,20.8796,57.24891,0.0,57.24891,20.8796
2017,4,D4,20.8796,57.24891,0.0,57.24891,20.8796
2017,5,D0,45.346226,70.9607,51.21023,19.75047,-5.864006
2017,5,D1,35.51466,64.34186,26.862133,37.479725,8.652527
2017,5,D2,25.483469,58.328133,26.862133,31.466,-1.378664
2017,5,D3,25.483469,58.328133,0.0,58.328133,25.483469
2017,5,D4,25.483469,58.328133,0.0,58.328133,25.483469
2017,6,D0,38.0786,61.11042,47.055523,14.054897,-8.976921
2017,6,D1,29.363691,54.716156,24.104803,30.611353,5.2588882
2017,6,D2,19.207735,48.122272,24.104803,24.01747,-4.897068
2017,6,D3,19.207735,48.122272,0.0,48.122272,19.207735
2017,6,D4,19.207735,48.122272,0.0,48.122272,19.207735
2017,7,D0,38.958202,56.30069,49.30755,6.993141,-10.349346
2017,7,D1,31.023083,50.929504,29.276356,21.653149,1.746727
2017,7,D2,18.321898,42.82595,29.276356,13.549595,-10.954458
2017,7,D3,18.321898,42.82595,0.0,42.82595,18.321898
2017,7,D4,18.321898,42.82595,0.0,42.82595,18.321898
2017,8,D0,30.474112,49.975048,46.993137,2.9819107,-16.519026
2017,8,D1,22.139738,44.435432,23.93637,20.499062,-1.7966328
2017,8,D2,14.160948,37.816593,23.93637,13.880222,-9.775423
2017,8,D3,14.160948,37.816593,0.0,37.816593,14.160948
2017,8,D4,14.160948,37.816593,0.0,37.816593,14.160948
2017,9,D0,45.00312,57.604492,57.049282,0.5552101,-12.046162
2017,9,D1,35.66438,51.47224,31.154087,20.318153,4.510292
2017,9,D2,25.252651,44.647537,31.154087,13.49345,-5.901436
2017,9,D3,25.252651,44.647537,0.0,44.647537,25.252651
2017,9,D4,25.252651,44.647537,0.0,44.647537,25.252651
2017,10,D0,41.06675,52.514034,47.055523,5.4585114,-5.9887733
2017,10,D1,32.950718,47.629444,23.480972,24.148472,9.469746
2017,10,D2,23.817842,41.2539,23.480972,17.772926,0.3368702
2017,10,D3,23.817842,41.2539,0.0,41.2539,23.817842
2017,10,D4,23.817842,41.2539,0.0,41.2539,23.817842
2017,11,D0,65.708046,70.18715,77.83531,-7.648163,-12.127266
2017,11,D1,55.820335,62.270744,53.805363,8.465382,2.0149727
2017,11,D2,36.749844,49.943855,53.805363,-3.8615074,-17.05552
2017,11,D3,36.743607,49.943855,0.0,49.943855,36.743607
2017,11,D4,36.743607,49.943855,0.0,49.943855,36.743607
2017,12,D0,49.058018,60.779785,60.979416,-0.19963074,-11.921398
2017,12,D1,36.3194,50.61135,28.471617,22.139734,7.847784
2017,12,D2,27.673113,42.75109,28.471617,14.279474,-0.7985039
2017,12,D3,27.673113,42.75109,0.0,42.75109,27.673113
