year,month,pct_area,experiment,dry_category,robustness
2016,1,72.089554,OPL,D0,main
2016,2,70.39304,OPL,D0,main
2016,3,47.12414,OPL,D0,main
2016,4,57.298817,OPL,D0,main
2016,5,31.79663,OPL,D0,main
2016,6,31.915157,OPL,D0,main
2016,7,26.232063,OPL,D0,main
2016,8,26.406738,OPL,D0,main
2016,9,28.116032,OPL,D0,main
2016,10,24.578915,OPL,D0,main
2016,11,4.217093,OPL,D0,main
2016,12,0.1871491,OPL,D0,main
2017,1,0.23081721,OPL,D0,main
2017,2,0.9170306,OPL,D0,main
2017,3,5.7080474,OPL,D0,main
2017,4,40.686214,OPL,D0,main
2017,5,51.21023,OPL,D0,main
2017,6,47.055523,OPL,D0,main
2017,7,49.30755,OPL,D0,main
2017,8,46.993137,OPL,D0,main
2017,9,57.049282,OPL,D0,main
2017,10,47.055523,OPL,D0,main
2017,11,77.83531,OPL,D0,main
2017,12,60.979416,OPL,D0,main
2018,1,28.041172,OPL,D0,main
2018,2,10.854648,OPL,D0,main
2018,3,9.04554,OPL,D0,main
2018,4,27.074236,OPL,D0,main
2018,5,11.603244,OPL,D0,main
2018,6,16.481598,OPL,D0,main
2018,7,21.584528,OPL,D0,main
2018,8,15.826575,OPL,D0,main
2018,9,9.064254,OPL,D0,main
2018,10,4.4791017,OPL,D0,main
2018,11,1.3724266,OPL,D0,main
2018,12,9.195259,OPL,D0,main
2019,1,16.737368,OPL,D0,main
2019,2,40.85465,OPL,D0,main
2019,3,53.006863,OPL,D0,main
2019,4,28.159702,OPL,D0,main
2019,5,64.44791,OPL,D0,main
2019,6,66.812225,OPL,D0,main
2019,7,64.865875,OPL,D0,main
2019,8,64.08609,OPL,D0,main
2019,9,54.19214,OPL,D0,main
2019,10,63.025578,OPL,D0,main
2019,11,67.804115,OPL,D0,main
2019,12,67.40487,OPL,D0,main
2020,1,71.32252,OPL,D0,main
2020,2,87.0068,OPL,D0,main
2020,3,85.11541,OPL,D0,main
2020,4,46.781036,OPL,D0,main
2020,5,40.941982,OPL,D0,main
2020,6,37.735497,OPL,D0,main
2020,7,38.00998,OPL,D0,main
2020,8,46.68746,OPL,D0,main
2020,9,51.57829,OPL,D0,main
2020,10,60.860886,OPL,D0,main
2020,11,48.771053,OPL,D0,main
2020,12,62.23331,OPL,D0,main
2016,1,50.52239,OPL,D1,main
2016,2,43.43915,OPL,D1,main
2016,3,19.313787,OPL,D1,main
2016,4,33.16906,OPL,D1,main
2016,5,16.768559,OPL,D1,main
2016,6,18.771053,OPL,D1,main
2016,7,11.172801,OPL,D1,main
2016,8,13.562071,OPL,D1,main
2016,9,10.792264,OPL,D1,main
2016,10,8.820961,OPL,D1,main
2016,11,0.3742982,OPL,D1,main
2016,12,0.03742982,OPL,D1,main
2017,1,0.106051154,OPL,D1,main
2017,2,0.3742982,OPL,D1,main
2017,3,2.4578915,OPL,D1,main
2017,4,13.537118,OPL,D1,main
2017,5,26.862133,OPL,D1,main
2017,6,24.104803,OPL,D1,main
2017,7,29.276356,OPL,D1,main
2017,8,23.93637,OPL,D1,main
2017,9,31.154087,OPL,D1,main
2017,10,23.480972,OPL,D1,main
2017,11,53.805363,OPL,D1,main
2017,12,28.471617,OPL,D1,main
2018,1,14.535247,OPL,D1,main
2018,2,4.1297565,OPL,D1,main
2018,3,2.8883343,OPL,D1,main
2018,4,15.321273,OPL,D1,main
2018,5,5.714286,OPL,D1,main
2018,6,7.411104,OPL,D1,main
2018,7,12.800998,OPL,D1,main
2018,8,8.01622,OPL,D1,main
2018,9,4.148472,OPL,D1,main
2018,10,1.9151591,OPL,D1,main
2018,11,0.49282596,OPL,D1,main
2018,12,1.6531503,OPL,D1,main
2019,1,7.3799124,OPL,D1,main
2019,2,22.1335,OPL,D1,main
2019,3,17.829071,OPL,D1,main
2019,4,8.64005,OPL,D1,main
2019,5,26.75608,OPL,D1,main
2019,6,28.702433,OPL,D1,main
2019,7,26.562695,OPL,D1,main
2019,8,28.646288,OPL,D1,main
2019,9,19.320024,OPL,D1,main
2019,10,32.1335,OPL,D1,main
2019,11,26.980663,OPL,D1,main
2019,12,39.912666,OPL,D1,main
2020,1,48.41547,OPL,D1,main
2020,2,45.449738,OPL,D1,main
2020,3,57.510918,OPL,D1,main
2020,4,29.3325,OPL,D1,main
2020,5,23.89894,OPL,D1,main
2020,6,21.010605,OPL,D1,main
2020,7,20.18715,OPL,D1,main
2020,8,25.839052,OPL,D1,main
2020,9,34.585155,OPL,D1,main
2020,10,33.64941,OPL,D1,main
2020,11,18.34685,OPL,D1,main
2020,12,29.92514,OPL,D1,main
2016,1,50.52239,OPL,D2,cautious_supplementary
2016,2,43.43915,OPL,D2,cautious_supplementary
2016,3,19.313787,OPL,D2,cautious_supplementary
2016,4,33.16906,OPL,D2,cautious_supplementary
2016,5,16.768559,OPL,D2,cautious_supplementary
2016,6,18.771053,OPL,D2,cautious_supplementary
2016,7,11.172801,OPL,D2,cautious_supplementary
2016,8,13.562071,OPL,D2,cautious_supplementary
2016,9,10.792264,OPL,D2,cautious_supplementary
2016,10,8.820961,OPL,D2,cautious_supplementary
2016,11,0.3742982,OPL,D2,cautious_supplementary
2016,12,0.03742982,OPL,D2,cautious_supplementary
2017,1,0.0062383036,OPL,D2,cautious_supplementary
2017,2,0.07485964,OPL,D2,cautious_supplementary
2017,3,2.4578915,OPL,D2,cautious_supplementary
2017,4,13.537118,OPL,D2,cautious_supplementary
2017,5,26.862133,OPL,D2,cautious_supplementary
2017,6,24.104803,OPL,D2,cautious_supplementary
2017,7,29.276356,OPL,D2,cautious_supplementary
2017,8,23.93637,OPL,D2,cautious_supplementary
2017,9,31.154087,OPL,D2,cautious_supplementary
2017,10,23.480972,OPL,D2,cautious_supplementary
2017,11,53.805363,OPL,D2,cautious_supplementary
2017,12,28.471617,OPL,D2,cautious_supplementary
2018,1,5.84529,OPL,D2,cautious_supplementary
2018,2,1.5096693,OPL,D2,cautious_supplementary
2018,3,2.8883343,OPL,D2,cautious_supplementary
2018,4,15.321273,OPL,D2,cautious_supplementary
2018,5,5.714286,OPL,D2,cautious_supplementary
2018,6,7.411104,OPL,D2,cautious_supplementary
2018,7,12.800998,OPL,D2,cautious_supplementary
2018,8,8.01622,OPL,D2,cautious_supplementary
2018,9,4.148472,OPL,D2,cautious_supplementary
2018,10,1.9151591,OPL,D2,cautious_supplementary
2018,11,0.49282596,OPL,D2,cautious_supplementary
2018,12,1.6531503,OPL,D2,cautious_supplementary
2019,1,1.1665628,OPL,D2,cautious_supplementary
2019,2,7.585777,OPL,D2,cautious_supplementary
2019,3,17.829071,OPL,D2,cautious_supplementary
2019,4,8.64005,OPL,D2,cautious_supplementary
2019,5,26.75608,OPL,D2,cautious_supplementary
2019,6,28.702433,OPL,D2,cautious_supplementary
2019,7,26.562695,OPL,D2,cautious_supplementary
2019,8,28.646288,OPL,D2,cautious_supplementary
2019,9,19.320024,OPL,D2,cautious_supplementary
2019,10,32.1335,OPL,D2,cautious_supplementary
2019,11,26.980663,OPL,D2,cautious_supplementary
2019,12,39.912666,OPL,D2,cautious_supplementary
2020,1,21.933874,OPL,D2,cautious_supplementary
2020,2,45.449738,OPL,D2,cautious_supplementary
2020,3,57.510918,OPL,D2,cautious_supplementary
2020,4,29.3325,OPL,D2,cautious_supplementary
2020,5,23.89894,OPL,D2,cautious_supplementary
2020,6,21.010605,OPL,D2,cautious_supplementary
2020,7,20.18715,OPL,D2,cautious_supplementary
2020,8,25.839052,OPL,D2,cautious_supplementary
2020,9,34.585155,OPL,D2,cautious_supplementary
2020,10,33.64941,OPL,D2,cautious_supplementary
2020,11,18.34685,OPL,D2,cautious_supplementary
2020,12,29.92514,OPL,D2,cautious_supplementary
2016,1,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2016,2,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2016,3,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2016,4,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2016,5,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2016,6,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2016,7,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2016,8,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2016,9,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2016,10,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2016,11,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2016,12,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2017,1,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2017,2,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2017,3,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2017,4,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2017,5,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2017,6,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2017,7,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2017,8,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2017,9,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2017,10,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2017,11,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2017,12,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2018,1,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2018,2,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2018,3,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2018,4,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2018,5,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2018,6,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2018,7,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2018,8,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2018,9,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2018,10,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2018,11,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
2018,12,0.0,OPL,D3,qc_only_not_robust_with_5yr_reference
