group,n_ref,ref_mean,ref_std
"(30.0, -9.700012, 1)",5,0.21062703,0.0074893376
"(30.0, -9.700012, 2)",5,0.21649566,0.01908843
"(30.0, -9.700012, 3)",5,0.2103806,0.013911874
"(30.0, -9.700012, 4)",5,0.20510805,0.007860054
"(30.0, -9.700012, 5)",5,0.20106311,0.006893202
"(30.0, -9.700012, 6)",5,0.19702826,0.007276593
"(30.0, -9.700012, 7)",5,0.19493614,0.0071655116
"(30.0, -9.700012, 8)",5,0.19425893,0.006721814
"(30.0, -9.700012, 9)",5,0.19446759,0.0065782997
"(30.0, -9.700012, 10)",5,0.19753817,0.0077667865
"(30.0, -9.700012, 11)",5,0.21360688,0.020014776
"(30.0, -9.700012, 12)",5,0.2206585,0.012260011
"(30.0, -9.650024, 1)",5,0.13082626,0.038181417
"(30.0, -9.650024, 2)",5,0.14154878,0.045359995
"(30.0, -9.650024, 3)",5,0.13859984,0.043163024
"(30.0, -9.650024, 4)",5,0.12859511,0.03100334
"(30.0, -9.650024, 5)",5,0.11676278,0.020559136
"(30.0, -9.650024, 6)",5,0.105175234,0.015100759
"(30.0, -9.650024, 7)",5,0.09770188,0.013007626
"(30.0, -9.650024, 8)",5,0.093867235,0.012915768
"(30.0, -9.650024, 9)",5,0.09253168,0.013171204
"(30.0, -9.650024, 10)",5,0.09523154,0.018200412
"(30.0, -9.650024, 11)",5,0.118538305,0.0433159
"(30.0, -9.650024, 12)",5,0.13710737,0.042723924
"(30.0, -9.599976, 1)",5,0.1324431,0.036983926
"(30.0, -9.599976, 2)",5,0.14305758,0.04509082
"(30.0, -9.599976, 3)",5,0.14044292,0.04296783
"(30.0, -9.599976, 4)",5,0.13074985,0.031085985
"(30.0, -9.599976, 5)",5,0.11941068,0.020934012
"(30.0, -9.599976, 6)",5,0.10806247,0.015182701
"(30.0, -9.599976, 7)",5,0.10062422,0.012509338
"(30.0, -9.599976, 8)",5,0.09681262,0.012062107
"(30.0, -9.599976, 9)",5,0.095464125,0.012225928
"(30.0, -9.599976, 10)",5,0.09826605,0.017311085
"(30.0, -9.599976, 11)",5,0.12111215,0.041589152
"(30.0, -9.599976, 12)",5,0.13900165,0.04086825
"(30.0, -9.549988, 1)",5,0.13366988,0.03531565
"(30.0, -9.549988, 2)",5,0.14386296,0.04440023
"(30.0, -9.549988, 3)",5,0.14154263,0.042665053
"(30.0, -9.549988, 4)",5,0.13211532,0.03143967
"(30.0, -9.549988, 5)",5,0.12143008,0.022044072
"(30.0, -9.549988, 6)",5,0.11046664,0.016123828
"(30.0, -9.549988, 7)",5,0.10309193,0.012696581
"(30.0, -9.549988, 8)",5,0.09927765,0.01153107
"(30.0, -9.549988, 9)",5,0.097929865,0.01135302
"(30.0, -9.549988, 10)",5,0.10083618,0.016216869
"(30.0, -9.549988, 11)",5,0.12312098,0.039300274
"(30.0, -9.549988, 12)",5,0.14045195,0.038321845
"(30.0, -9.5, 1)",5,0.1351836,0.03228163
"(30.0, -9.5, 2)",5,0.14483199,0.04278549
"(30.0, -9.5, 3)",5,0.1428589,0.041805416
"(30.0, -9.5, 4)",5,0.13380152,0.031733386
"(30.0, -9.5, 5)",5,0.12389891,0.023694947
"(30.0, -9.5, 6)",5,0.11346598,0.017932208
"(30.0, -9.5, 7)",5,0.10615723,0.013634266
"(30.0, -9.5, 8)",5,0.10229232,0.011302217
"(30.0, -9.5, 9)",5,0.100938305,0.010376424
"(30.0, -9.5, 10)",5,0.103877805,0.013679099
"(30.0, -9.5, 11)",5,0.12551433,0.034273755
"(30.0, -9.5, 12)",5,0.14237389,0.033216763
"(30.0, -9.450012, 1)",5,0.13854879,0.026942603
"(30.0, -9.450012, 2)",5,0.14810252,0.039246585
"(30.0, -9.450012, 3)",5,0.14706081,0.03905982
"(30.0, -9.450012, 4)",5,0.13878421,0.030248022
"(30.0, -9.450012, 5)",5,0.12962307,0.022923414
"(30.0, -9.450012, 6)",5,0.11968376,0.017954389
"(30.0, -9.450012, 7)",5,0.11238607,0.014352464
"(30.0, -9.450012, 8)",5,0.10851891,0.012596769
"(30.0, -9.450012, 9)",5,0.10725931,0.011966605
"(30.0, -9.450012, 10)",5,0.110247135,0.010308042
"(30.0, -9.450012, 11)",5,0.13139275,0.022128962
"(30.0, -9.450012, 12)",5,0.14801382,0.021469925
"(30.0, -9.400024, 1)",5,0.14318678,0.025045756
"(30.0, -9.400024, 2)",5,0.15251918,0.036864676
"(30.0, -9.400024, 3)",5,0.15212287,0.036805864
"(30.0, -9.400024, 4)",5,0.14415875,0.028800784
"(30.0, -9.400024, 5)",5,0.13519272,0.022262627
"(30.0, -9.400024, 6)",5,0.1258939,0.020016925
"(30.0, -9.400024, 7)",5,0.11926955,0.019712973
"(30.0, -9.400024, 8)",5,0.11602636,0.020168837
"(30.0, -9.400024, 9)",5,0.11525975,0.020491531
"(30.0, -9.400024, 10)",5,0.11853669,0.017238313
"(30.0, -9.400024, 11)",5,0.13932204,0.0123091815
"(30.0, -9.400024, 12)",5,0.155644,0.010563481
"(30.0, -9.349976, 1)",5,0.14443168,0.025429016
"(30.0, -9.349976, 2)",5,0.15333802,0.036392443
"(30.0, -9.349976, 3)",5,0.15322825,0.03663822
"(30.0, -9.349976, 4)",5,0.14513086,0.028668128
"(30.0, -9.349976, 5)",5,0.13584606,0.022627901
"(30.0, -9.349976, 6)",5,0.12689683,0.021114986
"(30.0, -9.349976, 7)",5,0.120495655,0.02150773
"(30.0, -9.349976, 8)",5,0.11748445,0.022355659
"(30.0, -9.349976, 9)",5,0.11693239,0.022756444
"(30.0, -9.349976, 10)",5,0.12029666,0.019574637
"(30.0, -9.349976, 11)",5,0.14073958,0.011614712
"(30.0, -9.349976, 12)",5,0.15715897,0.008631675
"(30.0, -9.299988, 1)",5,0.14187816,0.024502365
"(30.0, -9.299988, 2)",5,0.1506352,0.0361557
"(30.0, -9.299988, 3)",5,0.15095182,0.03744655
"(30.0, -9.299988, 4)",5,0.14268145,0.029243374
"(30.0, -9.299988, 5)",5,0.13285507,0.022897929
"(30.0, -9.299988, 6)",5,0.12360833,0.019553611
"(30.0, -9.299988, 7)",5,0.11654456,0.018400352
"(30.0, -9.299988, 8)",5,0.11303381,0.018495895
"(30.0, -9.299988, 9)",5,0.112276495,0.018450323
"(30.0, -9.299988, 10)",5,0.11551712,0.015375004
"(30.0, -9.299988, 11)",5,0.13588184,0.014584893
"(30.0, -9.299988, 12)",5,0.15294239,0.011687272
"(30.0, -9.25, 1)",5,0.15595128,0.023767468
"(30.0, -9.25, 2)",5,0.16444352,0.032995835
"(30.0, -9.25, 3)",5,0.16567788,0.035305124
"(30.0, -9.25, 4)",5,0.15812804,0.029302713
"(30.0, -9.25, 5)",5,0.14917544,0.024753409
"(30.0, -9.25, 6)",5,0.14126846,0.022809207
"(30.0, -9.25, 7)",5,0.13505116,0.022098014
"(30.0, -9.25, 8)",5,0.13194259,0.02223534
"(30.0, -9.25, 9)",5,0.13128771,0.02203773
"(30.0, -9.25, 10)",5,0.13420239,0.018557727
"(30.0, -9.25, 11)",5,0.15275979,0.012299404
"(30.0, -9.25, 12)",5,0.1675135,0.007902392
"(30.0, -9.200012, 1)",5,0.15371919,0.023322945
"(30.0, -9.200012, 2)",5,0.16220799,0.033510305
"(30.0, -9.200012, 3)",5,0.16372386,0.036619436
"(30.0, -9.200012, 4)",5,0.15613882,0.03050959
"(30.0, -9.200012, 5)",5,0.146888,0.025213294
"(30.0, -9.200012, 6)",5,0.13843936,0.021363344
"(30.0, -9.200012, 7)",5,0.13160887,0.01888417
"(30.0, -9.200012, 8)",5,0.12801322,0.017963089
"(30.0, -9.200012, 9)",5,0.12716235,0.017227381
"(30.0, -9.200012, 10)",5,0.1299859,0.013972049
"(30.0, -9.200012, 11)",5,0.14862677,0.016454963
"(30.0, -9.200012, 12)",5,0.16329291,0.012920426
"(30.0, -9.150024, 1)",5,0.15314996,0.023675075
"(30.0, -9.150024, 2)",5,0.16169694,0.03422951
"(30.0, -9.150024, 3)",5,0.16310261,0.037151948
"(30.0, -9.150024, 4)",5,0.15538757,0.03112273
