land_cover,transition,count,total,pct,experiment
1,attenuation,282,1309,21.543162719633308,DA_NoCDF_minus_OPL
1,intensification,147,1309,11.229946524064172,DA_NoCDF_minus_OPL
1,no_change,880,1309,67.22689075630252,DA_NoCDF_minus_OPL
2,attenuation,100,477,20.964360587002094,DA_NoCDF_minus_OPL
2,intensification,52,477,10.90146750524109,DA_NoCDF_minus_OPL
2,no_change,325,477,68.13417190775681,DA_NoCDF_minus_OPL
3,attenuation,27,120,22.5,DA_NoCDF_minus_OPL
3,intensification,16,120,13.333333333333334,DA_NoCDF_minus_OPL
3,no_change,77,120,64.16666666666667,DA_NoCDF_minus_OPL
5,attenuation,526,2205,23.85487528344671,DA_NoCDF_minus_OPL
5,intensification,541,2205,24.53514739229025,DA_NoCDF_minus_OPL
5,no_change,1138,2205,51.609977324263035,DA_NoCDF_minus_OPL
6,attenuation,734,3164,23.198482932996207,DA_NoCDF_minus_OPL
6,intensification,801,3164,25.316055625790142,DA_NoCDF_minus_OPL
6,no_change,1629,3164,51.48546144121365,DA_NoCDF_minus_OPL
7,attenuation,66045,335412,19.690708740295516,DA_NoCDF_minus_OPL
7,intensification,114884,335412,34.25160697887971,DA_NoCDF_minus_OPL
7,no_change,154483,335412,46.05768428082478,DA_NoCDF_minus_OPL
8,attenuation,1133,5322,21.288989101841413,DA_NoCDF_minus_OPL
8,intensification,1415,5322,26.587748966553924,DA_NoCDF_minus_OPL
8,no_change,2774,5322,52.12326193160466,DA_NoCDF_minus_OPL
9,attenuation,163,780,20.897435897435898,DA_NoCDF_minus_OPL
9,intensification,129,780,16.538461538461537,DA_NoCDF_minus_OPL
9,no_change,488,780,62.56410256410256,DA_NoCDF_minus_OPL
10,attenuation,5568,34049,16.352903168962378,DA_NoCDF_minus_OPL
10,intensification,13134,34049,38.57382008282181,DA_NoCDF_minus_OPL
10,no_change,15347,34049,45.073276748215804,DA_NoCDF_minus_OPL
12,attenuation,12024,67375,17.846382189239332,DA_NoCDF_minus_OPL
12,intensification,21345,67375,31.680890538033395,DA_NoCDF_minus_OPL
12,no_change,34006,67375,50.47272727272727,DA_NoCDF_minus_OPL
13,attenuation,1098,6934,15.835015863859244,DA_NoCDF_minus_OPL
13,intensification,2771,6934,39.962503605422555,DA_NoCDF_minus_OPL
13,no_change,3065,6934,44.202480530718205,DA_NoCDF_minus_OPL
14,attenuation,7,59,11.864406779661017,DA_NoCDF_minus_OPL
14,intensification,6,59,10.16949152542373,DA_NoCDF_minus_OPL
14,no_change,46,59,77.96610169491525,DA_NoCDF_minus_OPL
16,attenuation,26848,492344,5.45309783403474,DA_NoCDF_minus_OPL
16,intensification,353030,492344,71.70393058511935,DA_NoCDF_minus_OPL
16,no_change,112466,492344,22.842971580845912,DA_NoCDF_minus_OPL
1,attenuation,279,1309,21.31398013750955,DA_CDF_minus_OPL
1,intensification,150,1309,11.459129106187929,DA_CDF_minus_OPL
1,no_change,880,1309,67.22689075630252,DA_CDF_minus_OPL
2,attenuation,101,477,21.17400419287212,DA_CDF_minus_OPL
2,intensification,52,477,10.90146750524109,DA_CDF_minus_OPL
2,no_change,324,477,67.9245283018868,DA_CDF_minus_OPL
3,attenuation,27,120,22.5,DA_CDF_minus_OPL
3,intensification,16,120,13.333333333333334,DA_CDF_minus_OPL
3,no_change,77,120,64.16666666666667,DA_CDF_minus_OPL
5,attenuation,307,2205,13.922902494331066,DA_CDF_minus_OPL
5,intensification,1023,2205,46.394557823129254,DA_CDF_minus_OPL
5,no_change,875,2205,39.682539682539684,DA_CDF_minus_OPL
6,attenuation,732,3164,23.13527180783818,DA_CDF_minus_OPL
6,intensification,830,3164,26.232616940581543,DA_CDF_minus_OPL
6,no_change,1602,3164,50.632111251580284,DA_CDF_minus_OPL
7,attenuation,66983,335412,19.97036480507555,DA_CDF_minus_OPL
7,intensification,91042,335412,27.14333416812756,DA_CDF_minus_OPL
7,no_change,177387,335412,52.886301026796886,DA_CDF_minus_OPL
8,attenuation,770,5322,14.46824502066892,DA_CDF_minus_OPL
8,intensification,1989,5322,37.37316798196167,DA_CDF_minus_OPL
8,no_change,2563,5322,48.15858699736941,DA_CDF_minus_OPL
9,attenuation,170,780,21.794871794871796,DA_CDF_minus_OPL
9,intensification,87,780,11.153846153846155,DA_CDF_minus_OPL
9,no_change,523,780,67.05128205128204,DA_CDF_minus_OPL
10,attenuation,5664,34049,16.634849775323797,DA_CDF_minus_OPL
10,intensification,10952,34049,32.16540867573203,DA_CDF_minus_OPL
10,no_change,17433,34049,51.19974154894417,DA_CDF_minus_OPL
12,attenuation,12443,67375,18.468274582560294,DA_CDF_minus_OPL
12,intensification,15835,67375,23.50278293135436,DA_CDF_minus_OPL
12,no_change,39097,67375,58.02894248608534,DA_CDF_minus_OPL
13,attenuation,1097,6934,15.82059417363715,DA_CDF_minus_OPL
13,intensification,2771,6934,39.962503605422555,DA_CDF_minus_OPL
13,no_change,3066,6934,44.2169022209403,DA_CDF_minus_OPL
14,attenuation,7,59,11.864406779661017,DA_CDF_minus_OPL
14,intensification,6,59,10.16949152542373,DA_CDF_minus_OPL
14,no_change,46,59,77.96610169491525,DA_CDF_minus_OPL
16,attenuation,35451,492344,7.20045334156606,DA_CDF_minus_OPL
16,intensification,275833,492344,56.02444632208374,DA_CDF_minus_OPL
16,no_change,181060,492344,36.77510033635019,DA_CDF_minus_OPL
